Case_number,AER_form,Reporter,Country,Gender,Species,Breed,Drug,Reaction,Animals_affected,Animals_treated,Animals_died,date,source_file,year
NL-ECUBE-2021-NL-000005,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1588624&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Netherlands,FEMALE,Dog,Crossbred Canine/dog,"Carporal 20 mg, tabletten voor honden, Daxocox 100 mg - Tablet, Daxocox 140 mg - Tablet, Daxocox 15 mg - Tablet, Daxocox 200 mg - Tablet, Daxocox 30 mg - Tablet, Daxocox 45 mg - Tablet, Daxocox 70 mg - Tablet","Anorexia, Death by euthanasia, Decreased body temperature, Haematemesis, Haemorrhagic diarrhoea, Vomiting",1,1,1,2021-11-02T00:00:00Z,2021_eudra_daxocox.csv,2021
BEL-CA8B80A2-2021-BE-000009,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1628664&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Belgium,MALE,Dog,Unknown,"Anarthron 100 mg/ml Solution for Injection, Daxocox 100 mg - Tablet, EMEPRID 1 MG/ML ORAL SOLUTION FOR DOGS AND CATS, EMEPRID 5 MG/ML SOLUTION FOR INJECTION FOR DOGS AND CATS, EMEPRID COMPRIMES, Laurabolin 25 mg/ml solution for injection","Ataxia, Death, Multi-organ failure NOS, Vomiting",1,1,1,2022-01-04T00:00:00Z,2022_eudra_daxocox.csv,2022
BEL-CA8B80A2-2022-BE-000003,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000000390&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Belgium,MALE,Dog,Shepherd Dog - German,Daxocox 100 mg - Tablet,"Haemorrhagic diarrhoea, Vomiting",1,1,NA,2022-03-02T00:00:00Z,2022_eudra_daxocox.csv,2022
BEL-CA8B80A2-2022-BE-000005,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000000815&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Belgium,MALE,Dog,"Deutsche Dogge, Great Dane",Daxocox 100 mg - Tablet,"Diarrhoea, Vomiting",1,1,NA,2022-03-22T00:00:00Z,2022_eudra_daxocox.csv,2022
BEL-CA8B80A2-2022-BE-000007,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000003050&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Belgium,MALE,Dog,Shepherd Dog - German,Daxocox 100 mg - Tablet,"Decreased appetite, Lethargy (see also Central nervous system depression in Neurological)",1,1,NA,2022-05-03T00:00:00Z,2022_eudra_daxocox.csv,2022
BEL-CA8B80A2-2022-BE-000010,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000079562&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Belgium,FEMALE,Dog,Retriever - Labrador,Daxocox 100 mg - Tablet,Fatigue,1,1,NA,2022-10-24T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2021-DE-000064,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1651682&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,MALE,Dog,Crossbred Canine/dog,"Caniphedrin-50 ad us. vet., Daxocox 70 mg - Tablet, Luminal vet, Vitofyllin 100 mg film-coated tablets for dogs","Central nervous system disorder NOS, Panting, Restlessness",1,1,NA,2022-01-24T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000002,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1653653&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,FEMALE,Dog,Unknown,"Daxocox 45 mg - Tablet, SELGIAN 10MG/TAB ΕΠΙΚΑΛΥΜΜΕΝΟ ΔΙΣΚΙΟ ΓΙΑ ΣΚΥΛΟΥΣ, SELGIAN 10mg, SELGIAN 20 KG FILM-COATED TABLET, SELGIAN 20MG/TAB ΕΠΙΚΑΛΥΜΜΕΝΟ ΔΙΣΚΙΟ ΓΙΑ ΣΚΥΛΟΥΣ, SELGIAN 40 KG FILM COATED TABLET, SELGIAN 4MG/TAB ΕΠΙΚΑΛΥΜΜΕΝΟ ΔΙΣΚΙΟ ΓΙΑ ΣΚΥΛΟΥΣ, SELGIAN 4mg, SELGIAN 8 KG FILM-COATED TABLET, Selgian 10 mg Filmomhulde tablet, Selgian 10 mg filmomhulde tablet voor honden, Selgian 20 mg Filmomhulde tablet, Selgian 20 mg filmomhulde tablet voor honden, Selgian 20mg, Selgian 4 mg Filmomhulde tablet, Selgian 4 mg filmomhulde tablet voor honden, Selgian 40 kg tabletta kutyák részére A.U.V., VITAMIN B KOMPLEX, injekcinis tirpalas arkliams, galvijams, kiaulėms, šunims, katėms, audinėms ir lapėms, Vitamin-B-Komplex pro inj.",Elevated blood urea nitrogen (BUN),1,1,NA,2022-01-26T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000003,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=1648656&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,MALE,Dog,Terrier - Jack Russell,Daxocox 45 mg - Tablet,Lack of efficacy - NOS,1,1,NA,2022-01-17T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000004,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000000013&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,FEMALE,Dog,Dog (unknown),Daxocox 70 mg - Tablet,Lack of efficacy - NOS,1,1,NA,2022-02-03T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000011,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000000339&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,MALE,Dog,Doberman Pinscher,"Daxocox 100 mg - Tablet, Previcox 227 mg - Chewable tablet, Previcox 57 mg - Chewable tablet, Previcox 8.2 mg/g - Oral paste, TRAUMEEL USO VETERINARIO COMPRIMIDOS, TRAUMEEL USO VETERINARIO SOLUCION INYECTABLE, TRAUMEEL VET GEL, Traumeel - Gel für Tiere, Traumeel - Injektionslösung für Tiere, Traumeel Gel ad us. vet., Traumeel ad us. vet., Traumeel-Tabletten für Tiere",Lack of efficacy - NOS,1,1,NA,2022-02-25T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000016,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000000592&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,FEMALE,Dog,Terrier - Welsh,Daxocox 45 mg - Tablet,Lack of efficacy - NOS,1,1,NA,2022-03-10T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000022,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000000955&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,MALE,Dog,Terrier (unspecified),Daxocox 45 mg - Tablet,Lack of efficacy - NOS,1,1,NA,2022-03-29T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000030,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000003160&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,MALE,Dog,Maltese,Daxocox 30 mg - Tablet,Diarrhoea,1,1,NA,2022-05-04T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000031,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000003849&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,MALE,Dog,Terrier - Cairn,Daxocox 45 mg - Tablet,Partial lack of efficacy,1,1,NA,2022-05-25T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000034,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000003903&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,MALE,Dog,Terrier - Black Russian,Daxocox 100 mg - Tablet,Thrombocytopenia,1,1,NA,2022-05-27T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000042,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000030653&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,MALE,Dog,Mixed (Dog),"Daxocox 100 mg - Tablet, Onsior 40 mg  - Tablet (dogs)","Death by euthanasia, Diarrhoea, Lack of efficacy - NOS, Renal failure, Weight loss",1,1,1,2022-07-20T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000044,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000026558&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,UNKNOWN,Dog,Dog (unknown),Daxocox 100 mg - Tablet,Partial lack of efficacy,3,3,NA,2022-07-13T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000045,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000034716&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,FEMALE,Dog,Terrier - Fox (unspecified),Daxocox 30 mg - Tablet,"Blood in vomit, Death by euthanasia, Haemorrhagic diarrhoea, Hypothermia, Lethargy (see also Central nervous system depression in Neurological)",1,1,1,2022-07-21T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000048,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000034103&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,UNKNOWN,Dog,Dog (unknown),Daxocox 70 mg - Tablet,Gastric ulceration NOS,1,1,NA,2022-07-26T00:00:00Z,2022_eudra_daxocox.csv,2022
DEU-CA8B80A2-2022-DE-000063,"<a target=""_blank""  href=""/xmlpserver/EVVET3 PW NEW/Subject Area Contents/Public Website/Report (PDF)/AER.xdo?_xpf=&_xpt=1&_params%2FOracle%20BI%20EE%3A%3ADefaultApp%3A%3AEVVET3%20PR%20NEW%2FAER%3A%3Adimension%2FAER%20Id%3A%3Aattribute%3A%3Anoaggr%3A%3Axsd%3Adouble=20000080093&_xt=AER&_xf=pdf""> AER </a>",Veterinarian,Germany,FEMALE,Dog,Retriever - Labrador,Daxocox 100 mg - Tablet,Vomiting,1,1,NA,2022-10-25T00:00:00Z,2022_eudra_daxocox.csv,2022
